server,client,model,task,runs,success_rate,success_rate_completed,step_limit_rate,vendor_unavailable_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
control,openai_agents_sdk,gpt-5.6-terra,p2p_08_reverse_wrong_grn,3,0.333,0.333,0.0,0.0,0.0,0.667,0.0,,0.0,0.333,27.667,89774.667,1723.333,29.627,1.0,
control,openai_agents_sdk,gpt-5.6-terra,p2p_09_partial_payment,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,36.0,121484.667,2927.333,43.687,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,close_01_clean,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,191510.0,935.333,12.987,1.0,closed=3
treatment,claude_agent_sdk,claude-sonnet-5,close_02_blocked,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,4.0,154834.667,1250.333,17.323,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,dup_01_retry_storm,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,26.0,981193.333,10453.667,123.187,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,gl_01_manual_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.667,127846.333,748.667,9.687,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,gl_02_reverse_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,262359.667,1787.667,21.16,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,gl_03_closed_period,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,74564.333,518.667,8.15,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,o2c_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,9.333,415221.0,1657.667,23.833,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,o2c_02_credit_limit,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,4.667,141559.333,1383.667,16.903,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,o2c_03_partial_ship,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,9.0,392347.0,1980.667,25.593,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,o2c_04_credit_note,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,13.0,597796.0,2649.333,43.68,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,o2c_05_out_of_stock,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,196761.667,1340.667,17.933,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,o2c_06_payment_reversal,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,244937.667,1233.0,17.92,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,p2p_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,13.0,641392.667,4834.333,62.137,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,p2p_02_partial_receipt,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,16.333,716986.0,5713.0,72.023,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,p2p_04_over_threshold,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,154932.667,1274.0,17.233,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,p2p_05_cancel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,197779.0,1001.333,13.707,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,p2p_06_price_variance_5pct,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12.0,518015.667,7047.333,82.867,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,p2p_07_variance_within_tolerance,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,15.333,606459.667,5107.667,63.837,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,p2p_08_reverse_wrong_grn,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,489208.0,4600.0,57.067,1.0,
treatment,claude_agent_sdk,claude-sonnet-5,p2p_09_partial_payment,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,15.333,618169.667,4982.333,61.697,1.0,
treatment,google_adk,gemini-3.8-flash,close_01_clean,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,127331.667,1067.0,40.847,1.0,closed=3
treatment,google_adk,gemini-3.8-flash,close_02_blocked,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,5.0,142298.0,1535.0,42.547,1.0,
treatment,google_adk,gemini-3.8-flash,dup_01_retry_storm,3,0.333,0.333,0.0,0.0,0.0,0.667,0.0,1.0,0.667,,42.667,1960179.667,12131.667,243.437,1.0,
treatment,google_adk,gemini-3.8-flash,gl_01_manual_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,9.333,217813.333,1167.333,50.797,1.0,
treatment,google_adk,gemini-3.8-flash,gl_02_reverse_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.333,414222.667,1857.667,88.29,1.0,
treatment,google_adk,gemini-3.8-flash,gl_03_closed_period,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,6.0,151961.667,2007.333,67.5,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12.667,438107.0,1883.667,45.737,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_02_credit_limit,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8.667,223601.333,2125.0,62.06,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_03_partial_ship,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,15.333,494502.0,2332.333,40.343,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_04_credit_note,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,17.333,706950.0,2663.0,61.837,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_05_out_of_stock,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12.667,361502.0,2063.667,62.87,1.0,
